# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16419
#@/user_id	2a0bc472-4445-4d93-8ddf-986d757ebe5b
a 	啊	c=94 d=1.01937 t=16418
mu bu 	幕布	c=2 d=1.99501 t=9698
mu lu 	目录	c=9 d=0.980199 t=16418
mu qian 	目前	c=12 d=2.45018 t=14946
mu si lin 	穆斯林	c=2 d=0.000205615 t=16418
n zhi m 	唔知呒	c=1 d=2.747e-06 t=16418
na 	哪	c=4 d=3.08231e-08 t=16418
na 	拿	c=4 d=0.373439 t=16418
na 	那	c=20 d=0.696534 t=16418
na bian 	那边	c=5 d=1.00004 t=14156
na chu lai 	拿出来	c=1 d=0.341298 t=16418
na dao 	拿到	c=3 d=6.52304e-05 t=16418
na dao shou 	拿到手	c=1 d=0.000655574 t=16418
na ge 	哪个	c=2 d=3.80258e-08 t=16418
na ge 	那个	c=2 d=4.9199e-07 t=16418
na guo 	拿过	c=1 d=1 t=6533
na jiu 	那就	c=2 d=0.31937 t=16418
na jiu hao 	那就好	c=1 d=3.52782e-08 t=16418
na lai 	拿来	c=1 d=1 t=15539
na li 	哪里	c=2 d=0.0381969 t=16418
na li 	那里	c=1 d=2.15046e-08 t=16418
na me 	那么	c=7 d=1.23733e-05 t=16418
na me duo 	那么多	c=1 d=1.18611e-09 t=16418
na ni 	那你	c=2 d=0.03439 t=16418
na qu 	拿取	c=2 d=0.00482348 t=16418
na sha 	那啥	c=1 d=1 t=15011
na shen me 	拿什么	c=1 d=1 t=9568
na shi 	那是	c=5 d=1 t=14424
na tian 	那天	c=1 d=0.00358858 t=16418
na wei 	哪位	c=1 d=1 t=5036
na wo 	那我	c=4 d=0.00460782 t=16418
na xie 	哪些	c=1 d=0.66034 t=16418
na xing 	那行	c=1 d=1 t=9575
na ye 	那也	c=1 d=0.293758 t=16418
na you 	哪有	c=1 d=0.0987662 t=16418
na za 	那咋	c=1 d=2.49203e-07 t=16418
na zhe ge 	那这个	c=1 d=6.65708e-08 t=16418
na zhen 	那真	c=1 d=0.000796726 t=16418
na zhi neng 	那只能	c=1 d=1 t=8463
na zhong 	那种	c=2 d=0.000567086 t=16418
nai fen 	奶粉	c=2 d=1.00383 t=6514
nai xin 	耐心	c=1 d=5.50607e-10 t=16418
nan 	南	c=8 d=1.00005 t=14401
nan 	难	c=4 d=3.1289e-08 t=16418
nan bu 	南部	c=1 d=1.91157e-05 t=16418
nan cheng 	南城	c=1 d=1 t=13175
nan dao 	男刀	c=1 d=0.0485578 t=16418
nan dao 	难道	c=3 d=0.0208584 t=16418
nan qiang 	男枪	c=1 d=2.45534e-09 t=16418
nan shou 	难受	c=3 d=0.0235177 t=16418
nan yi 	难以	c=1 d=1 t=7163
nao dai 	脑袋	c=1 d=1 t=5153
ne 	呢	c=8 d=0.0537635 t=16418
nei 	内	c=14 d=0.0190631 t=16418
nei bu 	内部	c=8 d=0.272532 t=16418
nei cun 	内存	c=8 d=1.858 t=16418
nei di 	内地	c=1 d=0.000186888 t=16418
nei rong 	内容	c=8 d=0.000266158 t=16418
nei su 	内速	c=13 d=1.66955 t=15145
nei wang 	内网	c=1 d=9.28375e-09 t=16418
neng 	能	c=20 d=0.386606 t=16418
neng bu neng 	能不能	c=3 d=1 t=14982
neng fou 	能否	c=1 d=1 t=13142
neng kan 	能看	c=1 d=1 t=10566
neng li 	能力	c=3 d=0.00527382 t=16418
neng rang 	能让	c=0 d=0.0120032 t=16418
neng rang wo 	能让我	c=1 d=0.120633 t=16418
neng yong 	能用	c=1 d=1 t=9435
ng ni 	唔妮	c=1 d=7.2103e-06 t=16418
ni 	你	c=94 d=0.872287 t=16418
ni bu shuo 	你不说	c=1 d=1 t=5161
ni cai 	你才	c=0 d=4.73831e-09 t=16418
ni cai neng 	你才能	c=1 d=4.76206e-08 t=16418
ni cheng 	昵称	c=1 d=6.30083e-08 t=16418
ni de 	你的	c=6 d=0.0098528 t=16418
ni gei 	你给	c=1 d=1 t=7282
ni hai 	你还	c=1 d=1 t=12579
ni hao 	你好	c=3 d=1.00001 t=14322
ni kan 	你看	c=1 d=0.00066709 t=16418
ni kan kan 	你看看	c=1 d=1 t=15417
ni kan wo 	你看我	c=1 d=1 t=8288
ni kan yi xia 	你看一下	c=1 d=1 t=15901
ni ke 	你可	c=2 d=4.77358e-07 t=16418
ni ke yi 	你可一	c=1 d=1 t=5908
ni ke yi yong 	你可以用	c=1 d=1 t=8132
ni men 	你们	c=5 d=3.42305e-07 t=16418
ni na ge 	你那个	c=1 d=1 t=8989
ni pao lu 	你跑路	c=1 d=1.49645e-07 t=16418
ni shang ban 	你上班	c=1 d=0.197899 t=16418
ni shen zhi 	你甚至	c=1 d=0.194952 t=16418
ni shi 	你是	c=2 d=0.000461975 t=16418
ni shuo 	你说	c=1 d=1 t=14112
ni wu hui 	你误会	c=1 d=0.0124007 t=16418
ni xian zai 	你现在	c=4 d=1.13941e-06 t=16418
ni xiang 	你想	c=1 d=1.95052e-07 t=16418
ni ye 	你也	c=1 d=1 t=8173
ni ying gai 	你应该	c=1 d=1 t=14976
ni you 	你有	c=2 d=1 t=10738
ni yuan yi ting 	你愿意听	c=1 d=1 t=6574
ni zai 	你再	c=1 d=1 t=10025
ni zai 	你在	c=2 d=1 t=8471
ni zhao 	拟照	c=1 d=1 t=12085
ni zhe 	你这	c=4 d=1.00647 t=12861
ni zhe ge 	你这个	c=4 d=1 t=16103
ni zhu yao 	你主要	c=1 d=1 t=10378
ni zuo tian 	你昨天	c=1 d=1 t=10315
nian 	年	c=37 d=1.15845 t=16418
nian de 	年的	c=1 d=2.4796e-07 t=16418
nian di 	年底	c=11 d=1.10984 t=16418
nian du 	年度	c=2 d=1.04076 t=15690
nian duo 	年多	c=1 d=1 t=8207
nian hou 	年后	c=1 d=0.164474 t=16418
nian qian 	年前	c=1 d=1.21614e-08 t=16418
nian qing 	年轻	c=1 d=1 t=9256
nian tong 	年同	c=1 d=1 t=9367
nian zhong 	年终	c=3 d=1.38832e-07 t=16418
nin 	您	c=1 d=2.84533e-08 t=16418
nin de 	您的	c=1 d=1 t=11545
nin kan 	您看	c=1 d=3.17618e-08 t=16418
ning xia 	宁夏	c=2 d=0.000166591 t=16418
niu 	牛	c=2 d=0.00477195 t=16418
niu rou 	牛肉	c=2 d=0.00479402 t=16418
nong du 	浓度	c=1 d=1 t=12777
nong nong 	浓浓	c=1 d=1 t=4809
nv peng you 	女朋友	c=1 d=1 t=8803
nv qiang 	女枪	c=1 d=2.46765e-09 t=16418
nv tong zhi 	女同志	c=1 d=1 t=4814
nv xing 	女性	c=1 d=1 t=12749
o 	哦	c=2 d=0.00222057 t=16418
ou 	讴	c=1 d=2.55555e-09 t=16418
pa 	怕	c=0 d=0.0226502 t=16418
pa bu shi 	怕不是	c=2 d=0.227638 t=16418
pai 	拍	c=3 d=1.98696 t=10676
pai 	排	c=1 d=1 t=5544
pai 	派	c=2 d=1.43085e-09 t=16418
pai ban 	拍板	c=1 d=5.38219e-07 t=16418
pai dan 	派单	c=4 d=2.04797 t=7124
pai de 	拍得	c=1 d=1 t=5543
pai gu 	排骨	c=0 d=1.59337e-11 t=16418
pai wei 	排位	c=1 d=1 t=9538
pai xu 	排序	c=15 d=2.98529 t=13385
pai zhang tu 	拍张图	c=1 d=1 t=12684
pai zhao 	拍照	c=3 d=2.85551 t=10682
pan 	盘	c=8 d=1 t=15636
pan duan 	判断	c=10 d=0.035437 t=16418
pao 	跑	c=1 d=7.24891e-11 t=16418
pao lu 	跑路	c=9 d=0.10191 t=16418
pao lu yun 	跑路云	c=1 d=8.12959e-06 t=16418
pao yi xie 	跑一些	c=1 d=7.28524e-10 t=16418
pei dui 	配对	c=3 d=0.000744524 t=16418
pei dui ma 	配对码	c=1 d=0.00022263 t=16418
pei he 	配合	c=3 d=1.00016 t=15877
pei she 	配社	c=1 d=1 t=13586
pei xun 	培训	c=8 d=0.000930629 t=16418
pei yang 	培养	c=1 d=5.34334e-10 t=16418
pei zhi 	配置	c=8 d=0.00196947 t=16418
peng 	鹏	c=8 d=1.00015 t=14479
peng ge 	鹏哥	c=2 d=1.00857 t=15661
peng you 	朋友	c=5 d=1.81873 t=9370
pi 	批	c=3 d=1.96079 t=16273
pi bu pi 	批不批	c=1 d=1 t=16361
pi liang 	批量	c=1 d=1 t=15083
pi mei 	媲美	c=0 d=5.06789e-06 t=16418
pi neng 	批能	c=1 d=3.08179e-06 t=16418
pi pei 	匹配	c=2 d=7.40296e-06 t=16418
pi ping 	批评	c=1 d=0.0261846 t=16418
pi ping ba 	批评吧	c=1 d=0.263158 t=16418
pian yi 	便宜	c=2 d=0.0934807 t=16418
pian yuan 	偏远	c=1 d=1 t=13055
piao 	票	c=1 d=1 t=10622
piao bo 	漂泊	c=1 d=1 t=5302
piao liang 	漂亮	c=1 d=3.23253e-09 t=16418
piao ling 	飘零	c=1 d=1 t=6801
pin che 	拼车	c=1 d=0.00315111 t=16418
pin dao 	频道	c=1 d=1 t=4558
pin fan 	频繁	c=2 d=1.01067 t=6370
pin fu cha ju 	贫富差距	c=1 d=1 t=5406
ping 	屏	c=0 d=0.1 t=5108
ping 	平	c=1 d=1 t=13244
ping ce 	评测	c=1 d=0.0159229 t=16418
ping chang 	平常	c=1 d=1 t=5716
ping fan 	平凡	c=1 d=1 t=5461
ping he 	平和	c=1 d=5.39704e-10 t=16418
ping jun 	平均	c=1 d=4.65492e-05 t=16418
ping mi 	平米	c=0 d=0.1 t=12984
ping mu 	屏幕	c=4 d=0.646585 t=16418
ping shi 	平时	c=2 d=1.25621e-07 t=16418
ping tai 	平台	c=4 d=1.55029e-05 t=16418
po 	坡	c=1 d=1 t=15120
po bai 	破败	c=1 d=1.99026e-09 t=16418
po dun 	破盾	c=1 d=3.49213e-06 t=16418
po jie 	破解	c=1 d=1 t=4556
pu ji 	普及	c=1 d=1.70449e-09 t=16418
pu tiao 	普条	c=1 d=0.427415 t=16418
pu tong 	普通	c=2 d=1.29777 t=16418
qi 	七	c=2 d=1.1367 t=9734
qi 	其	c=5 d=5.38128e-05 t=16418
qi 	器	c=12 d=0.000106478 t=16418
qi 	奇	c=8 d=0.214396 t=16418
qi 	契	c=1 d=3.65348e-08 t=16418
qi 	期	c=2 d=1 t=15154
qi 	起	c=1 d=0.000117391 t=16418
qi 	骑	c=0 d=1.99507e-09 t=16418
qi an xin 	奇安信	c=5 d=1 t=16412
qi bu 	七步	c=1 d=1 t=12832
qi bu 	岂不	c=1 d=1 t=7308
qi bu 	起步	c=1 d=4.40657e-07 t=16418
qi bu shi 	岂不是	c=2 d=0.324652 t=16418
qi dai 	期待	c=1 d=0.000837575 t=16418
qi de 	气得	c=1 d=0.00360656 t=16418
qi dian 	起点	c=6 d=2.00245 t=12506
qi dian dong che 	骑电动车	c=1 d=2.00507e-08 t=16418
qi dong 	启动	c=5 d=8.65611e-09 t=16418
qi dong qi 	起动器	c=1 d=1 t=12258
qi fei 	起飞	c=1 d=7.54346e-08 t=16418
qi fu 	欺负	c=1 d=1.06789e-08 t=16418
qi hou 	气候	c=1 d=1 t=10053
qi huo 	起火	c=1 d=0.481909 t=16418
qi ji 	七级	c=1 d=1 t=14523
qi jian 	旗舰	c=1 d=1 t=9995
qi lai 	起来	c=1 d=0.00767337 t=16418
qi niu 	七牛	c=2 d=1.96079 t=15749
qi pa 	奇葩	c=1 d=1 t=5020
qi pian 	欺骗	c=1 d=1 t=10686
qi qi guai guai 	奇奇怪怪	c=1 d=1.82305e-06 t=16418
qi shi 	其实	c=6 d=0.211189 t=16418
qi ta 	其他	c=11 d=0.0102056 t=16418
qi tai 	七台	c=1 d=1 t=10113
qi xi 	气息	c=1 d=1 t=5864
qi xian 	期限	c=1 d=1 t=7723
qi ye 	企业	c=2 d=6.8103e-07 t=16418
qi yong 	启用	c=1 d=0.000199439 t=16418
qi yue 	七月	c=1 d=0.0605068 t=16418
qi zhao 	起招	c=1 d=2.71311e-07 t=16418
qi zhong 	其中	c=8 d=1.00044 t=16217
qia 	恰	c=1 d=1 t=14177
qian 	前	c=5 d=0.23933 t=16418
qian 	千	c=4 d=1 t=9355
qian 	欠	c=1 d=1 t=5580
qian 	签	c=4 d=0.00115463 t=16418
qian 	纤	c=5 d=1.29065 t=15163
qian 	钱	c=9 d=0.605272 t=16418
qian bei 	前辈	c=2 d=3.18769e-08 t=16418
qian cheng 	前程	c=1 d=2.40901e-10 t=16418
qian cheng wu you 	前程无忧	c=1 d=2.48644e-10 t=16418
qian dao 	签到	c=1 d=1 t=13150
qian duan 	前段	c=1 d=1 t=5816
qian gai 	纤改	c=6 d=1.29811 t=16400
qian jin 	前进	c=2 d=1.98511 t=14606
qian liang 	前两	c=0 d=0.1 t=10788
qian liang ge 	前两个	c=1 d=1 t=10789
qian ming 	签名	c=1 d=1 t=10685
qian pai 	前排	c=1 d=2.48559e-06 t=16418
qian qi 	前期	c=1 d=1 t=14643
qian qing 	前情	c=1 d=1 t=5233
qian tai 	前台	c=1 d=1 t=6531
qian yi 	迁移	c=2 d=5.10993e-06 t=16418
qian yue 	签约	c=10 d=0.689694 t=16418
qian zhao 	千兆	c=10 d=2.05434 t=10108
qian zhao xiao qu 	千兆小区	c=1 d=1 t=10060
qian zhui 	前缀	c=1 d=1 t=13284
qian zi 	签字	c=2 d=1 t=8684
qiang 	墙	c=1 d=1 t=9699
qiang xing 	强行	c=1 d=3.67242e-10 t=16418
qiang xiu 	抢修	c=1 d=1 t=12702
qiang zhi 	强制	c=1 d=0.0352602 t=16418
qiao 	桥	c=2 d=0.0013604 t=16418
qiao ju 	侨居	c=2 d=0.000201175 t=16418
qie 	且	c=3 d=1.00001 t=13508
qie ge 	切割	c=1 d=0.0629761 t=16418
qie huan 	切换	c=1 d=1 t=5212
qin shi 	寝室	c=0 d=7.22896e-08 t=16418
qing 	请	c=26 d=1.03573 t=15862
qing bing 	清兵	c=1 d=3.37202e-06 t=16418
qing bo 	轻薄	c=1 d=1 t=9645
qing cha 	清查	c=1 d=1 t=8332
qing cha shou 	请查收	c=12 d=1.95783 t=15931
qing chu 	清楚	c=8 d=8.63796e-07 t=16418
qing chu 	清除	c=4 d=1.99501 t=10036
qing dai 	清代	c=1 d=2.11261e-05 t=16418
qing dan 	清单	c=6 d=1.6182 t=15449
qing hai 	青海	c=2 d=0.000171664 t=16418
qing jiao 	请教	c=1 d=1 t=15307
qing jin kuai 	请尽快	c=2 d=1 t=14684
qing ke 	请客	c=3 d=2.98012 t=11735
qing kuang 	情况	c=75 d=3.05041 t=16418
qing li 	清理	c=1 d=1 t=11923
qing liang 	轻量	c=1 d=1 t=11661
qing long 	青龙	c=0 d=2.9763e-09 t=16418
qing long shan 	青龙山	c=1 d=2.99122e-08 t=16418
qing ming jie 	清明节	c=1 d=1 t=9833
qing shang 	情商	c=1 d=4.24684e-07 t=16418
qing tian 	晴天	c=1 d=1 t=6597
qing tui 	清退	c=1 d=1 t=6058
qing wa 	青蛙	c=1 d=1 t=4773
qing wen 	请问	c=1 d=2.77508e-08 t=16418
qing wu 	请勿	c=1 d=1 t=11335
qing xu 	情绪	c=2 d=0.0515605 t=16418
qing zhi shao 	请至少	c=1 d=1 t=11708
qiong 	穷	c=7 d=0.142558 t=16418
qiu 	球	c=1 d=1.4967e-09 t=16418
qiu 	秋	c=1 d=1 t=5746
qiu ji 	秋季	c=1 d=1 t=6582
qiu zhao 	秋招	c=4 d=3.79873e-09 t=16418
qiu zhi 	求职	c=0 d=2.4989e-11 t=16418
qiu zhi wang 	求职网	c=1 d=2.51143e-10 t=16418
qu 	区	c=6 d=0.000178995 t=16418
qu 	去	c=49 d=0.530061 t=16418
qu 	取	c=3 d=0.00030659 t=16418
qu bie 	区别	c=1 d=3.92853e-09 t=16418
qu can jia 	去参加	c=1 d=0.00499159 t=16418
qu chong 	去重	c=7 d=2.1359 t=15783
qu da 	去打	c=1 d=0.0290133 t=16418
qu de 	去的	c=1 d=6.31606e-07 t=16418
qu diao 	去掉	c=2 d=1 t=15265
qu dong 	驱动	c=2 d=0.037066 t=16418
qu fen 	区分	c=2 d=1.08683e-10 t=16418
qu hua fen 	去划分	c=1 d=1 t=11049
qu le 	去了	c=1 d=2.69307e-08 t=16418
qu lian tong 	去联通	c=1 d=1 t=6599
qu nian 	去年	c=6 d=0.496585 t=16418
qu nuan 	取暖	c=0 d=1.22519e-08 t=16418
qu nuan fei 	取暖费	c=1 d=1.23133e-07 t=16418
qu shi xi 	去实习	c=1 d=0.000457378 t=16418
qu wan 	去玩	c=1 d=0.00856561 t=16418
qu wen 	去问	c=1 d=2.02e-07 t=16418
qu xian 	区县	c=17 d=1.89035 t=16327
qu xiang 	去想	c=1 d=4.88178e-06 t=16418
qu xiao 	取消	c=19 d=2.7121 t=14399
qu yu 	区域	c=9 d=2.35796 t=13059
qu zhao 	去找	c=1 d=1 t=8465
quan 	全	c=1 d=2.03047e-10 t=16418
quan 	圈	c=1 d=1 t=10694
quan 	权	c=7 d=1 t=16349
quan 	泉	c=1 d=1 t=13209
quan bu 	全部	c=2 d=0.0400392 t=16418
quan bu 	圈补	c=1 d=1 t=10953
quan bu zai 	全部在	c=1 d=1 t=14817
quan dou 	全都	c=1 d=2.67272e-07 t=16418
quan ge 	权哥	c=6 d=1.53794 t=16375
quan guo 	全国	c=1 d=1 t=12803
quan jia 	全价	c=1 d=5.32773e-05 t=16418
quan liang 	全量	c=8 d=2.34534 t=15615
quan liang duan kou 	全量端口	c=1 d=1 t=15608
quan liu cheng 	全流程	c=1 d=2.04064e-09 t=16418
quan mai 	全麦	c=0 d=4.72527e-06 t=16418
quan mai fen 	全麦粉	c=1 d=4.74896e-05 t=16418
quan mian 	全面	c=0 d=0.1 t=5108
quan mian ping 	全面屏	c=1 d=1 t=5109
quan wen 	全文	c=1 d=1.15943e-05 t=16418
quan wu 	全无	c=1 d=1 t=8175
quan xian 	权限	c=5 d=0.254107 t=16418
quan yuan 	全员	c=1 d=1 t=5780
quan zhi 	全智	c=1 d=1 t=12415
que 	缺	c=6 d=1.23313 t=15906
que ding 	确定	c=3 d=0.00139483 t=16418
que ren 	确认	c=5 d=1 t=16234
que shi 	确实	c=8 d=0.491644 t=16418
que shi shi 	确实是	c=1 d=1 t=9540
que xian 	缺陷	c=1 d=1 t=10233
que zao 	确凿	c=0 d=0.1 t=13943
que zao wu yi 	确凿无疑	c=1 d=1 t=13944
que zhen 	确诊	c=2 d=1.90484 t=12816
qun 	群	c=7 d=1.74752 t=16418
qun gong gao 	群公告	c=1 d=1 t=12082
qun liao 	群聊	c=2 d=1 t=14256
qun nei 	群内	c=1 d=1 t=13326
qun qing 	群青	c=1 d=1 t=5145
qun ti 	群体	c=1 d=1 t=4983
ran 	然	c=1 d=0.000391706 t=16418
ran hou 	然后	c=4 d=0.0518189 t=16418
rang 	让	c=3 d=1.21279e-05 t=16418
rang wo 	让我	c=3 d=6.26727e-05 t=16418
rang wo men 	让我们	c=1 d=0.000629868 t=16418
rang zi ji 	让自己	c=1 d=1 t=6711
rao 	绕	c=1 d=1 t=13468
re gan mian 	热干面	c=2 d=0.00681257 t=16418
re jian 	热键	c=1 d=1 t=16101
ren 	人	c=56 d=0.291777 t=16418
ren 	仁	c=1 d=1 t=14440
ren cai 	人才	c=0 d=4.76125e-07 t=16418
ren gong 	人工	c=1 d=1 t=8981
ren jia 	人家	c=1 d=9.63768e-08 t=16418
ren ke 	认可	c=1 d=1 t=14142
ren kou 	人口	c=9 d=0.000160176 t=16418
ren lei 	人类	c=2 d=6.52936e-05 t=16418
ren li 	人力	c=2 d=0.000699601 t=16418
ren men 	人们	c=0 d=2.02978e-06 t=16418
ren min 	人民	c=2 d=0.000268004 t=16418
ren she 	人社	c=2 d=0.00505482 t=16418
ren shi 	人事	c=4 d=0.224427 t=16418
ren ti 	人体	c=1 d=5.5175e-05 t=16418
ren wei 	认为	c=1 d=1 t=4737
ren wu 	人物	c=2 d=1.7652e-09 t=16418
ren wu 	任务	c=6 d=0.965605 t=16418
ren yi 	任意	c=3 d=4.08877e-09 t=16418
ren yi chu 	任意处	c=1 d=8.01128e-10 t=16418
ren yuan 	人员	c=6 d=1.88516e-05 t=16418
ren zheng 	认证	c=5 d=4.46325e-08 t=16418
ri 	日	c=7 d=0.222017 t=16418
ri chang 	日常	c=2 d=0.000242945 t=16418
ri cheng 	日程	c=2 d=5.31579e-08 t=16418
ri chu 	日出	c=1 d=7.50584e-08 t=16418
ri li 	日历	c=9 d=1.00001 t=13091
ri qi 	日期	c=11 d=1.38279 t=11965
ri zhi 	日志	c=3 d=7.29966e-06 t=16418
ri zi 	日子	c=1 d=1 t=6421
rong 	荣	c=2 d=2.05548e-06 t=16418
rong 	融	c=1 d=1 t=13871
rong qi 	容器	c=4 d=1.03371e-05 t=16418
rong yi 	容易	c=1 d=1 t=9496
rou 	肉	c=3 d=0.119345 t=16418
ru 	入	c=1 d=1 t=5181
ru 	如	c=3 d=5.60345e-05 t=16418
ru guo 	如果	c=9 d=0.0200525 t=16418
ru he 	如何	c=5 d=0.170333 t=16418
ru men 	入门	c=0 d=1.8981e-11 t=16418
ru shang 	如上	c=1 d=1 t=14897
ru tong 	如同	c=2 d=0.0500366 t=16418
ru wu 	如无	c=0 d=0.1 t=14868
ru wu xu 	如无需	c=1 d=1 t=14869
ru xia 	如下	c=3 d=1.05004 t=15465
ru you 	如有	c=1 d=1 t=12057
ru zhi 	入职	c=17 d=0.508161 t=16418
ru zhi qian 	入职前	c=1 d=3.43184e-07 t=16418
ruan 	软	c=0 d=1.02849e-08 t=16418
ruan 	阮	c=8 d=1.05606 t=15144
ruan chang chun 	阮长春	c=8 d=1.27373 t=15814
ruan jian 	软件	c=9 d=0.924134 t=16418
ruan li juan 	阮丽娟	c=1 d=1 t=14567
ruan lian jie 	软链接	c=3 d=1.03365e-07 t=16418
run 	润	c=0 d=1.625e-07 t=16418
sai ji 	赛季	c=1 d=1 t=4769
sai na 	塞纳	c=1 d=1 t=8090
san 	三	c=5 d=0.0626222 t=16418
san bu 	散步	c=1 d=1 t=5860
san da 	三大	c=1 d=7.44912e-07 t=16418
san fang 	三方	c=2 d=0.00456553 t=16418
san ge 	三个	c=6 d=0.637172 t=16418
san ge ren 	三个人	c=1 d=1 t=5748
san guo 	三国	c=0 d=0.1 t=8088
san guo cheng 	三国城	c=1 d=1 t=8089
san nian 	三年	c=9 d=0.000593365 t=16418
san qian 	三千	c=1 d=1.213e-07 t=16418
san tian 	三天	c=1 d=0.131994 t=16418
san xi 	三溪	c=1 d=1 t=13157
san xing 	三星	c=3 d=0.470011 t=16418
san ye 	三页	c=1 d=1 t=7852
san yue 	三月	c=3 d=0.0593087 t=16418
san yue fen 	三月份	c=3 d=1.00006 t=10430
sang xin 	丧心	c=1 d=0.0420036 t=16418
sao miao 	扫描	c=1 d=0.00195963 t=16418
sao qing 	扫清	c=1 d=1 t=14906
sao wei 	扫尾	c=1 d=2.13457e-09 t=16418
se cai 	色彩	c=1 d=7.69585e-08 t=16418
sen tie 	森帖	c=1 d=7.35596e-06 t=16418
sha 	啥	c=6 d=0.0164912 t=16418
sha he 	沙河	c=1 d=1 t=6444
sha he 	沙盒	c=1 d=1 t=6445
sha jiu 	啥酒	c=1 d=1 t=12930
sha ping 	沙坪	c=2 d=1.0004 t=13187
sha shi hou 	啥时候	c=2 d=1 t=15680
sha xian 	沙县	c=1 d=1 t=11492
sha zi 	啥子	c=1 d=0.118837 t=16418
shai xuan 	筛选	c=2 d=1.95123 t=12165
shai zi 	色子	c=1 d=1.26555e-06 t=16418
shan 	删	c=1 d=1 t=8246
shan 	善	c=2 d=1 t=11158
shan 	山	c=0 d=2.9763e-09 t=16418
shan 	珊	c=1 d=1 t=4932
shan chu 	删除	c=1 d=1 t=8261
shan dong 	山东	c=2 d=0.00017601 t=16418
shan guo 	善国	c=1 d=1 t=9827
shan le 	删了	c=1 d=0.00631391 t=16418
shan xian 	闪现	c=1 d=3.52722e-06 t=16418
shang 	上	c=32 d=0.989556 t=16418
shang 	商	c=3 d=2.07628e-05 t=16418
shang ban 	上班	c=4 d=0.0694783 t=16418
shang ban nian 	上半年	c=1 d=5.19707e-07 t=16418
shang bao 	上报	c=3 d=1.16788 t=10602
shang bi 	上臂	c=1 d=1 t=12828
shang chuan 	上传	c=2 d=1.94176 t=10659
shang ci 	上次	c=1 d=1.47774e-06 t=16418
shang da xue 	上大学	c=1 d=0.196912 t=16418
shang dian 	商店	c=3 d=0.00264522 t=16418
shang ge 	上个	c=1 d=0.00615802 t=16418
shang ge yue 	上个月	c=1 d=1 t=15481
shang gu 	上古	c=1 d=0.232236 t=16418
shang hai 	上海	c=1 d=0.00337959 t=16418
shang hai 	伤害	c=3 d=0.951229 t=16418
shang hui 	上回	c=2 d=0.543351 t=16418
shang ji 	上机	c=2 d=8.28261e-09 t=16418
shang ji 	上级	c=1 d=1.72162e-09 t=16418
shang jiao 	上交	c=2 d=1.99501 t=15047
shang kan 	上看	c=1 d=1 t=6235
shang lai 	上来	c=2 d=1.97531 t=10009
shang lian 	上联	c=2 d=1.91851 t=8096
shang mao 	商贸	c=2 d=1.98511 t=12197
shang mian 	上面	c=2 d=0.677307 t=16418
shang qu 	上去	c=1 d=1 t=14291
shang shu 	上述	c=1 d=1.20674e-05 t=16418
shang yan 	伤眼	c=1 d=1 t=6225
shang ye hua 	商业化	c=1 d=0.00115923 t=16418
shang you 	上游	c=1 d=1.96979e-05 t=16418
shao 	少	c=6 d=0.65377 t=16418
shao deng 	稍等	c=1 d=1 t=16045
shao nv 	少女	c=1 d=1 t=5171
shao qian 	烧钱	c=1 d=1 t=5787
shao ren 	少人	c=1 d=1 t=9400
shao shu 	少数	c=4 d=0.00033193 t=16418
shao shu pai 	少数派	c=2 d=3.88258e-10 t=16418
shao wei 	稍微	c=1 d=0.092089 t=16418
she bao 	社保	c=1 d=1 t=13713
she bei 	设备	c=8 d=0.000721009 t=16418
she cheng 	设成	c=1 d=1 t=4611
she ding 	设定	c=4 d=2.64657e-09 t=16418
she hui 	社会	c=2 d=0.156453 t=16418
she hui shi jian 	社会实践	c=1 d=3.2409e-10 t=16418
she ji 	设计	c=22 d=2.41252 t=14794
she mi 	涉密	c=1 d=1 t=5904
she nv 	蛇女	c=1 d=1.12535e-07 t=16418
she qu 	社区	c=1 d=0.028297 t=16418
she wei 	设为	c=2 d=9.785e-10 t=16418
she zhao 	社招	c=1 d=1.02584e-06 t=16418
she zhi 	设置	c=5 d=9.07561e-06 t=16418
shei 	谁	c=4 d=1.00008 t=13796
shei shuo 	谁说	c=1 d=1.04134e-06 t=16418
shen 	沈	c=1 d=1 t=10297
shen 	深	c=0 d=0.1 t=15215
shen 	神	c=1 d=1 t=14372
shen fen 	身份	c=4 d=3.01027e-06 t=16418
shen fen zheng 	身份证	c=1 d=1.37807e-08 t=16418
shen gan 	深感	c=1 d=1 t=14944
shen he 	审核	c=4 d=1.00146 t=13122
shen huo 	甚或	c=1 d=0.000765486 t=16418
shen me 	什么	c=34 d=1.13854 t=16418
shen me de 	什么的	c=1 d=2.16683e-09 t=16418
shen pi 	审批	c=1 d=1 t=9147
shen pi biao 	审批表	c=1 d=1 t=5621
shen qing 	申请	c=4 d=0.45612 t=16418
shen shu 	沈戍	c=2 d=1.91393 t=12923
shen ti 	审题	c=1 d=4.17146e-09 t=16418
shen ti 	身体	c=2 d=1.00064 t=6216
shen zhen 	深圳	c=3 d=2.53069 t=5651
shen zhi 	甚至	c=0 d=0.019398 t=16418
sheng 	升	c=2 d=1 t=12882
sheng 	生	c=10 d=7.37374e-05 t=16418
sheng 	省	c=3 d=1.20805 t=15679
sheng 	胜	c=1 d=1 t=15850
